That’s a wrap. #SpotifyWrapped,2021-12-02 15:49:00,What about red and blue by B double E Still my go to game day jam!,Very creative!,Pamela Crawford I like that last song! 😉,Amy Jo Herrera the Crunchy Chicken Cheddar Wrap 🤣,Crimson (Taylor’s Version) 😂😂🤣😂😁😂🤣 that’s funny s***,Joseph David,This is great 👏👏,Someone at KU is being very creative.,Grant Laws Stewart,Bravo to the SMM 🤣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How do you describe someone with a disability? A KU research center has just published a new edition of writing guidelines that includes a discussion of a shift in some communities to identity language that expresses disability pride.  NEWS.KU.EDU RTC/IL publishes new edition of disability language guidelines,2020-08-21 18:20:02,Animal House wannabes. Looks like most were respectful. Must have been a good party; they even had a clown.,Go Jayhawks!!,I have a learning disability,Nothing from the University huh??? Shocker,https:// m.youtube.com/ watch?v=eucDxBKt 82o your frat culture at play.,Way to have your students make the news KU. Makes my alma mater look classy when frat boys chuck alcohol into the cars of lost Lawrence residents. Frats have always been a problem at KU and the university does nothing to keep them in check.,I appreciate the disability inclusion but in the middle of a pandemic::: your fraternity Kappa Sigma at the University of Kansas followed no safety protocols::: assaulted an innocent resident who was lost::: falsely imprisoned him by blocking him in so he could not leave::: and potentially infected him with COVID.  To date::: no one from the fraternity or the university has called to at the very least apologize to this man. Because of this incident::: he will probably have to quarantine for 15 days to make sure he has not been infected. Kappa Sigma should be responsible for any and all medical tests and medical requirements if this man does come down with COVID.  The individuals who assaulted him and committed false imprisonment by refusing to let him leave should be brought up on charges.  All the residents of the house and those who attended the part should be tested for COVID and Kappa Sigma should be responsible for the costs.  I wonder if any of these individuals will consider those who may become ill and die simply because they felt the need for a party.,Guidelines to free speech. ok............. ....,Amy Strange,The statement put out by the chapter house is ridiculous 🤦‍♀️🤦‍♀️😂😂  https:// www.facebook.com /206151727036/ posts/ 1016873435302703 7/?d=n,I’d focus on your trash frat Kappa Sigma::: first.,Please control your fraternity culture. It was a mess when I was at KU::: and it clearly still is. Don't give these boys in Kappa Kappa Kappa (or whatever it's called) a pass just cuz their parents give you more money. Absolutely disheartening to see the lack of integrity greek life is held to.,Maybe you could write down some guidelines for your trash fraternity Kappa Sigma. Like::: don’t date rape underage women::: don’t throw alcohol on or harass people? 🤷🏻‍♂️,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KU’s Marvin Grove::: a campus treasure of 200-plus trees and small wildlife::: was envisioned in 1878 by Chancellor James Marvin. Just east of the Campanile::: it has been a natural getaway for decades::: as this 1940s photo (right) attests.,2020-08-20 15:01:13,https:// www.facebook.com /groups/ 2935909079818694 /?ref=share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNN calls on Kelly H. Chong::: a KU sociology professor::: to explain cultural appropriation as part of a controversy about a beauty trend called “fox eye:::” which critics say is racist because of its similarity to Asian eyes.  CNN.COM The 'fox eye' beauty trend continues to spread online. But critics insist it's racist,2020-08-19 18:15:03,https:// www.facebook.com /groups/ 2935909079818694 /?ref=share,wtf,The whole point of makeup is to have fun and accentuate your features. I don't think anyone putting on their eyeliner does it with the intention of imitating another race::: unless they're cosplayers or work in the theater::: and then it's because they're becoming a specific character. Moreover it's called FOX EYE makeup::: not ASIAN EYE makeup. If you look at a fox's eye::: it makes sense where the trend gets its name. But for the sake of the argument::: if fox eye makeup counts as cultural appropriation::: what about cat eye makeup? The styles are pretty similar looking. Do we need to stop wearing that too? Should non-asians get upset about Koreans using double eyelid tape or doing cut creases? Should we also restrict the colors that people of different races are allowed to dye their hair if it's not a color that commonly occurs in their racial or ethnic group?  I don't believe anything about this trend is racist. Telling people they can't wear it if they're not a certain race::: on the other hand::: most definitely is. If seeing people of all colors and backgrounds elongating the wings on their eyeliner ruins your day::: perhaps you should be reexamining your own values and rethinking your own views on race. At the very least::: please get a hobby 🙄,Did any of you actually read the article? Good lord. It’s not even entirely about the eye makeup and it makes sense. FFS.,God forbid people go more than 5 minutes without finding a reason to be offended.,I see very little different from the cat’s eye effect you can do with eyeliner... 🤔,For real::: just stop already. This is ridiculous. For the record::: this doesn’t offend me one bit. I can only speak for myself but I’m pretty sure there are many others like me who feel the same way. Stop it. 🤦‍♂️,people have been using makeup to look different for years I know lots of girls in the 80s used this eyeliner trend it wasn’t to look Asian.,And in Korea they constantly have eye surgery for a more westerner eye look. That’s racist!,You know what really grinds my gears? When people culturally appropriate my western medicine::: education::: and technology. It’s not ok. 🙄,"Seems like whoever is saying that it's racist is the only one who thinks that all Asians have ""slanty"" eyes.  That's what is called projection.",It sounds like whoever thinks this is more of a racist than those who do it. It's called fox-eye yet you want to equate it with Asian eyes? Pot kettle black. For shame KU I thought you were more intelligent than this,CNN says everything and everybody is racist!!..🙄😂,Interesting.... Of course::: the ancient Egyptians used thick::: elaborate eyeliner eons ago and that culture’s style continues to influence many in the world today. “Elaborate sarcophagi depict faces with heavy eye-liner.”  https:// www.bbc.com/ culture/article/ 20160204-how-anc ient-egypt-shap ed-our-idea-of- beauty,Give me a break. People just want something to whine about.,Sounds to me like the critics are racist. Be yourself .,🤯,I think someone who wants to wear makeup to accentuate their features a way they desire is not wrong or racist. Looking at someone’s subtle eye makeup and saying “that looks like Asian people eyes::: I don’t like that and you shouldn’t do that::: it’s racist” sounds WAYYYY more racist to me. I feel like if Michael Scott had an assignment to address racism in the office he would come up with this,Rachael Sneed Soyeon Kim what do you two think of this?,Janae Love,How ridiculous. First::: any sociology professor of quality would refuse a call from #FakeNews CNN.  CNN is a joke!,Slow news day KU?!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masks reduce the spread of COVID-19::: so be sure to wear one whenever you’re on campus. More tips:  🔴 Masks should fit snugly and cover your mouth::: chin::: and nose. 🔵Wash or dispose of your mask after each use. 🔴 Wash your hands before and after touching your mask.  #protectKU,2020-08-19 15:07:02,https:// www.facebook.com /groups/ 2935909079818694 /?ref=share,Meanwhile.... https:// m.facebook.com/ story.php?story_ fbid=1010805357 8501089&id=1683 1488,Tell that to this frat  https:// www.facebook.com /16831488/ posts/ 1010805357850108 9/ ?extid=4alivMsTV Q10Wvki&d=n,As a KU grad living in Lawrence::: will you please cancel on campus classes. We're two weeks away from a total mess. You are responsible for lives!,Sure !!!,https:// m.facebook.com/ story.php?story_ fbid=3567542286 590271&id=22775 0827236117&sfns n=mo&extid=wL9q 3UvCHa2exilx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We know a guy who's bringing the crimson and blue to an Animal Crossing island near you. He's Ever Josue Figueroa::: assistant professor of journalism at KU William Allen White School of Journalism and Mass Communications. Rock Chalk::: Ever!  📸: Ever Josue Figueroa,2020-08-18 15:07:07,Rachael McDonnell,Jessica Hilt,Chris Shultz,Zach Faucheux,Frank Esberg,Yazaret Estrada-Winchel,Janae Hendrix,Tyler Van Karen Folz,Laekyn Clarkson,Madeleine Marie,Abby Plank!,Yep::: I WANT IT.,Kennedy Burnell,Alicia Chandler,Tom Minear,I need this immediately.,Grace Gunderson 😍,Lindsey Levine,Melanie Christine Kelly Wilson Ashley Groepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can high school students with autism spectrum disorder improve their transition to adulthood through two programs that have each separately shown success? A KU researcher will test the combined programs at 36 schools in Kansas and North Carolina.  NEWS.KU.EDU Combined approach to help students with autism,2020-08-17 18:10:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greetings from the sunflower state. 🌻,2020-08-17 15:02:03,Tyan Fairbankp,Living now in Georgia after 30 years in the beautiful Sunflower State::: still want to come back! 😢,Where can I get that hat,Stop. Having. In. Person. Classes. In. The. Middle of. A. Pandemic!,https:// m.facebook.com/ story.php?story_ fbid=3567542286 590271&id=22775 0827236117&sfns n=mo&extid=wL9q 3UvCHa2exilx Citizens of the City of Lawrence and Douglas County are waiting for you to take action. This blatant disregard by both students and this house mother for the health of our community members in the midst of a national pandemic is disgraceful. What will be done about this?,KU is my sunshine!!!!!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A KU student journalist muses over the secret places he’s discovered over his years on KU’s campus — places that are secret::: but not because they’re hidden.  KANSAN.COM Senior column: Secret places on campus,2020-08-14 18:15:02,I'd say Strong Hall is about the most secretive place on campus.,Luck you that you can afford it. When I was in college could not afford to go to KU.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We don’t know who needs to hear this::: but you can still say the Rock Chalk Chant while wearing a mask.,2020-08-14 15:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thirty high school student leaders from eastern Kansas recently participated in Rotary International’s first virtual leadership academy. The Zoom event was a collaboration of KU student leaders::: KU Memorial Union::: and community Rotary clubs.  NEWS.KU.EDU Jayhawks lead 1st virtual Rotary Youth Leadership Academy,2020-08-13 18:05:01,https:// m.youtube.com/ watch?v=eucDxBKt 82o What are you going to do about this frat? Extremely horrible behavior.,Brad Moore aha!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wear a mask::: but make it fashion.  📸: Brian Wise,2020-08-13 15:03:02,Making it fashion normalizes it - please don’t normalize it,No,Sorry folks it’s not going away and the vaccine isn’t going to do it either just like the flu shot - hasn’t gotten rid of the flu in all these years -99.8% recovery - best way to deal with it is to build immune - you can’t Clorox it away. Sorry not going into the train car. Oh and by the way if masks work so well how did they get it in China and in the Middle East? They wear masks daily and without fail - oops...,I really want a KU one!,Brian Wise youre a legend,I bought this same print for my daughter that graduated in the spring and works at KU Med. You look great!,Everybody (Carla) has a problem. You go::: Brian! Thanks for the mask protection.,Right now it needs to be the norm!,Cameron Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
About 1:::500 adult volunteers from Kansas and Missouri are being recruited to test a COVID-19 vaccine this month at KU Medical Center and Children’s Mercy Hospital. About 30:::000 people will be testing the vaccine nationally.  KBIA.ORG KU Med And Children’s Mercy To Lead Clinical Trials Of Promising COVID-19 Vaccine,2020-08-12 18:25:01,Amber Miller,So proud of my U❤️💙 Hope it works❣️,Awesome! WTG!,Supposedly up to 50% effective.,Ben Juster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As part of our #protectKU plan::: all Jayhawks on campus will receive mandatory COVID-19 testing this fall. Tests will be free::: rapid::: and saliva-based — no swabs necessary! More details here:  PROTECT.KU.EDU Protect KU,2020-08-12 14:50:01,today I thought to recharge my Kindle again. My Kindle is really powerful. I bought it from online shop when I was in 303B dorm in Clinton hall. It has UB power also. But J people and max is causing me harms that's for sure. Also Ani people. I am now cool with K.,So why play sports this year? That was a bad decision!,The accuracy of rapid::: saliva testing is less than the accuracy of the 3 to 4 day::: nasal swab testing. Please share how KU's rapid testing matches the accuracy of the 3 to 4 day::: nasal swab. KU does not want to cause unnecessary fear and loss of instructional and social/ emotional time with a false test.,Ryan Lant,We need a working Dining Hall for the students waiting over an hour in line for a meal and they are running out of food. How quickly can we get food trucks in there and link it to the meal plan????,how is this being enforced? are you keeping track of who does and does not get a test done and barring those who don't from coming back to campus? why are housing residents exempt from being tested prior to coming to campus? being tested in the lobby of their dorm on move in day is dangerous::: if they are positive they just exposed the desk assistant and the person administering the test. if we are required to be tested before coming to campus then no one should be exempt from that::: especially not housing residents.,Is KU in need of any PPE products? I have wipes::: gloves and mask here in the US.,This sure seems like a DNA test. How can we be sure KU is not gathering DNA also? Seems like a cheek swab would be sufficient.,But let's keep those sports going on because we need that money.,My biggest question is... will KU be offering quick and free re-testing for students who test positive? The cheek swab is far from 100% accurate and does give many false positives and false negatives. A positive test will have a huge impact on a student. Another important question is will KU require a subsequent negative test after a positive test to return to campus or will it be symptom based? COVID tests for some have been shown to remain positive for months despite resolution of symptoms::: and that could be detrimental for students with in person labs/classes.,Awesome!!! Way to be proactive & help students & faculty out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How can you affect positive change during this time of social unrest? KU researchers have assembled the Justice Action Toolkit — step-by-step instructions to help social justice advocates organize voter registration::: boycotts::: and other actions for social change.  NEWS.KU.EDU KU researchers develop new toolkit for social justice action,2020-08-11 14:44:00,Defund ku,Mob violence?!? Js,Sylvia Davis::: this is why I'm not so excited about the Jayhawks anymore. A lifetime of being a KU fan::: but not anymore.,As a KU grad they should stick w their safety zone and puppies They don’t believe in the first amendment only when one agrees with their agenda are you allowed to participate Rock Chalk,Maggie Grandsire,Awesome!!!  Anything that educates young people and pisses off conservatives simultaneously must be amazing!  As far as I'm concerned there should never be in a state of social rest. We can always look at the newest data::: and we can always do better.  Haters gonna hate:::  but  Truth tellers still need to speak. ❤️,I just graduated with a Master of Social work from the University of Texas Rio Grande Valley. We used The Community Toolbox in many of my classes.,Hopefully students who stand for civil rights like the 2nd amendment will have these resources available to help with the oppression they deal with. Sounds great!,I guess it’s time to find a new college team.,This is why::: despite being a KU Alumni::: I do not donate to KU.,Wow::: y'all literally being mad that a university wants to stand up against racism. Check yourselves.,The problem with “higher” education. Why not just worry about educating young people?,#GetWokeGoBroke,How about we realize it’s not systemic racism’s but rather bad actions of idiots on all fronts,How to be better at advocating for far-left positions::: brought to you by your benefactors: the Communists of yesterday in their padded halls of academia::: far removed from the the lives of working Americans and the middle-class.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A federally funded KU research project studying the security issues faced by digitally homeless people when using public internet outlets has expanded. It will now include how COVID-19 plays into their ability to get secure public internet access.  NEWS.KU.EDU Online security for public internet users,2020-08-10 18:10:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I’m a gift with a view overlooking the Grove. I’m good for a sit::: but y’all pass me in droves. Where the Hawk am I? 🔍 If you think you know::: sound off below!,2020-08-10 15:02:02,Just west of Lippincott - it's a bench which was a gift of a class back in the early 1900's right?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The onset of the COVID-19 pandemic accelerated change in every corner of the Jayhawk community. The rapid transition to remote teaching and learning demanded innovation and resiliency from staff::: faculty::: and students. These are a few of their stories:  PROVOST.KU.EDU Stories of Resilience: How KU Rallied to Teach Remotely in Spring,2020-08-07 18:10:03,Let’s hope they do better this fall since they have had all this time now. More in person should be available and time should have been used to accommodate those safety measures vs online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
