“We see this gift as the color of commitment. It celebrates the many contributions to Princeton’s legacy from its diverse students and alumni making a tremendous impact in the world. It represents what it means for us to individually and collectively thrive. It demonstrates that people of color belong in the room and sit at the table as patrons and co-creators to help the University to continue to do the work of service to humanity. Most importantly::: during this time of national reckoning on race and racial injustice::: it highlights the benefits that diversity::: inclusion and belonging can bring. Princeton is a microcosm of America; we’re modeling that working together makes us all stronger moving forward”  Princeton alumni Kwanza Jones ‘93 and José E. Feliciano ‘94 have made a major gift to the University - the largest ever made by Black and Latino donors and one of a few extraordinary alumni commitments to the University's strategic goal of undergraduate expansion - leading to the construction of two new undergraduate dormitories. The dormitory buildings will be named after Jones and Feliciano::: becoming the first two buildings on campus named for Black and Latino benefactors. https://bit.ly/3hCZt2H  #PrincetonForward,2020-09-17 16:04:50,Princeton has become more racist since the passage of the 1964 Civil Rights Act. Racism is deep in the DNA of the non-POC faculty.,these people are very weird,As an alumna::: I’d like to thank you both for your generous gift!,Always amazing 🙂!!! Miss you both!!,Thank you!,Thank you!,For an Ivy League school::: Christopher Eisgruber and the other boneheads running the show at PU have no common sense. I hope PU has to pay back hundreds of millions in student loans fraudulently taken from taxpayers.  #SelfAdmittedSys temicRacism 😂😂😂,How brave for Princeton to come forth and admit their lifetime of systemic racism. It would seem the only viable way forward is by closing your doors!,Okay Very Good,علي سلمان,Very Good,Congrats on your gift & all of your success!,Amazing!,Thank you for this amazing generosity to future generations of students! - An ‘11 alumna,So grateful::: so proud::: and so humbled by my friends’ extraordinary generosity and visionary leadership. 🖤🧡🐅🖤🧡,Love this💝,Apparently::: Christopher Eisgruber is an incurable racist. He should be removed immediately from his position at the school.,❤️ (and the bridge 🥰),Princeton systemic racism won't be forgotten . Class action lawsuit should be brought against a universal that hinder diversity .  https:// www.nytimes.com/ 2020/09/17/us/ princeton-racism -federal-invest igation.html,self-admitted systemic racism.,Princeton's $26 billion endowment should be re-distributed to black families for reparation due to years of,This is excellent to see!!,Incredible! Thank you Kwanza and Jose!,Amazing! Keep pushing.,"Why doesn't Princeton ""investigate"" moving to another country???",Is there an opportunity for education in your beautiful country? I hope to be fluent in English and learn your culture,Gravity & photons of light enter brain cell neo/peptides changing the ebbing & flowing. This causes all neurological disorders. I think that major Ivy League Schools should have a combined facebook where they share ideas/beliefs like this so that everyone no matter their socioeconomic status::: race::: sex::: or age can share thought. Just an idea. Cheers!,Princeton University the Number One Racist School in history.,Marvelous! Thank you. Craig Willis '78,Thank you for this amazing gift to Princeton!!!!,Beautiful. Thank you for your major contribution,Love you both!!!,Christopher Eisgruber is a moron and in fact is racist in what he is doing. Man can't believe Princeton is ran by a bunch of losers. Davos is coming for you guys.,💯📚🇺🇲📚🏆🇺🇲🥇,Christine Caffrey Johnson,Love you guys! 🙏🏼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WED::: OCT 14::: 2020 Princeton FluFest 2020,2020-09-16 17:06:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department of African American Studies::: Princeton University faculty members Ruha Benjamin and Keeanga-Yamahtta Taylor have been named among the first cohort of Freedom Scholars from the Marguerite Casey Foundation and Group Health Foundation::: an initiative that supports progressive academics who are at the forefront of movements for economic and social justice.  Congratulations! 👏  PRINCETON.EDU Ruha Benjamin and Keeanga-Yamahtta Taylor named Freedom Scholars,2020-09-16 15:14:03,Love this! Congratulations to both!!!,Clya Mitztoo,Congrats to #FreedomScholars Princeton University !,Raven DeRamus-Byers,Congratulations !!!,Bravo to you both!,Many Congratulations Princeton University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tune in as Princeton professors Julian Zelizer and Sam Wang from the ""Politics & Polls"" podcast will be in conversation with Emma Parish '21 and Kesavan Srivilliputhur '23::: two fellows from Princeton's student-led Vote100 campaign. They will discuss Vote100 goals and mission::: how to increase voter participation in the 2020 election and more.",2020-09-15 21:00:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PrincetonU strongly supports continued protections for recipients of Temporary Protected Status.  The TPS program exemplifies the humanitarian ideals of this country::: providing relief for immigrants from countries struggling with armed conflict::: environmental disaster::: or other extraordinary conditions. TPS recipients have put down deep roots in the U.S.: They have bought homes::: started families::: and become valued members of the community::: including employees at Princeton University.  We urge Congress to act quickly to advance legislation that provides TPS recipients with continued status to live and work in the United States.,2020-09-14 21:25:16,Malarkey.,.... Do they have running water and toilets at this Jr College asking for a friend !,🤭,😔😪😪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does one combine interests in health::: space and service in their career? 🤔  Just ask Maya Mishra '22::: who aims to become an astronaut and flight surgeon::: allowing her to both practice medicine and conduct research while in space. 🚀 https://bit.ly/33wbemy,2020-09-14 15:00:05,So inspiring!,Maya Mishra so excited to see everything you accomplish!,omg Maya Mishra that’s so cool wanna be friends? we could maybe go get boba and live in the same room for three years in a row?,Maya Mishra you are the coolest person i know !!! 🥰🤩,❤,#GoTiger ! #DareToDream Princeton University,AhSan M,I love this! Maya::: you are so inspiring and amazing. Best of luck achieving your lofty goals and fulfilling your dreams!💗,Maya Mishra YOURE SO COOL ❤️,Top fan Judy Bachu,Way to Go Maya!!,:’) thank u all so much!!!!,Maya::: this is amazing!!,So very impressive!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In just one year::: Trenton Arts at Princeton (TAP) has transformed from a small youth orchesrtra to an on-campus initiative that includes weekly lessons::: fellowships::: trips and performances for dozens of local middle and high school aged students::: and more than 50 #PrincetonU student volunteers.  At the helm is Lou Chen '19::: a Princeton alumnus who founded the original Trenton Youth Orchestra which has blossomed into TAP::: and who has helped continue the program in a virtual capacity. 🎵 https://bit.ly/2FfC3mF,2020-09-13 14:00:02,The arts are definitely part of the answer. Congratulations on this amazing program. Now::: let’s make it bigger and better. And let’s call on all universities to replicate the program,One person can change the world for the better,Thank you Princeton for saying “YES!” to Lou’s idea and the ideas blossoming from it.,FABULOUS!,GO Lou Chen!!!!,So cool. Bravo!,Such a wonderful program! A gift for teachers and students alike.,Lou Chen why are you the coolest person ever,Amazing😭😭😭,Fantastic-how great that Princeton makes the resources available and these kids can experience the life-changing effects of music and the arts. Bravo!,I love PU😍😍,Grateful for the joy and light that TAP brings amidst all that is going on in our world right now! Congratulations to the faculty::: volunteers and students at both Princeton and Trenton. There is so much to be proud of. 🥳👏🙌😍,Way to go,Great job::: Lou!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What does it take to beat the heat while saving energy? Not much::: just yourself! ❄️  Introducing ""Cold Tube:::"" created by Andlinger Center for Energy and the Environment::: Princeton University researchers::: an outdoor pavilion with insulated radiant panels that hold cold water pipes inside. As participants walk through the pavilion::: their body goes through a radiation exchange with the panels::: making their bodies feel cool despite the sweltering heat and humidity outside.  ACEE.PRINCETON.EDU Andlinger Center Speaks: the multiple benefits of a world without air conditioning",2020-09-12 17:49:02,Everything cost $$$,Ameen Moshirfar,AKA geothermal energy which other countries use to heat and cool their houses.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Join Princeton University::: Princeton Alumni and Princeton University Office of Religious Life for an Interfaith Service as we remember the 14 Princetonians we lost on September 11::: 2001.,2020-09-11 12:00:11,Thank you and ❤️and 🙏🏻,This is such a beautiful reminder of who we are as a nation and as a people with the Divine within- ALL PEOPLE❤️,Thank you 🙏,Remerbering September 11 from Vietnam.,We are saying it with you,Thanks,May their soul rest in peace and parents never know such pain again.,Aha i see,What's the video for?,Amen,Just what we needed,Good evening from Indonesia,Flic Ifloo,🙏🏼 thank you,Joining from Bangladesh,I miss this place so much.,Amen 🙏,joining you from Melbourne::: Australia,Thanks to the alumni association and the office of religious life. This is what I didn’t know my soul needed.🙏🏾🙏🏾🙏🏾,Praise God and may He bless you all. 💖,Thank you for making this available to the campus and greater community.,🕯🕯🕯🗽🦅🇺🇸,A beautiful collection of memorials. Thank you for your thoughts and prayers.,🙏🏼✨,Hope some study abroad students come to Cairo::: Egypt to live immersively the issues in the Middle East in its heart::: Cairo and live with its people to help USA & the world with a deeper vision.,Amen,HELLO. LIKE T,Thank you for this beautiful memorial. Remembering in Brattleboro::: Vermont.,Thank you for this service! Special commemoration to Bob Deraney '80 and Karen Klitzman '84. Sending love to you::: and to your families.♥️,🙂 Congratulations ! A beautiful Collection of Memorials.,🙏thank you,Hello,Thank you Princeton for a beautiful memorial,🐅,Thank you.,🙏🙏,I am always blessed with this ministry Amen,Many thanks for this meaningful gathering to remember::: reflect::: and share together::: through prayers::: other words::: music::: and more.,This is beautiful and well done! ❤️🙏,Glorious music.,Beautifully shared. This is a day of memory that we all wish we could forget. Thank you. 🙏🏻,Prayers for everyone.,Thank You,May their souls rest in peace 🙏🏻,Beautiful,Beautiful memorial for the lost ones with comforting thoughts::: prayers and inspiration. Thank you.,I very much appreciated the memory of September 11 with the music of Ennio Morricone who passed away this year. Thanks from Italy for this great honor!,19 years.,Absolutely beautiful... the oboe also speaks to my soul. Thank you 💕,Thank you to PU’s Office of Religious Life and the Alumni Association for helping us to remember and for sharing words of comfort and inspiration on this day🧡🖤🧡,Hi...i am interest to study in your famous university in full fee scholarship,🙏🙏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tune in as Princeton professors Julian Zelizer and Sam Wang from the ""Politics & Polls"" podcast will be in conversation with Emma Parish '21 and Kesavan Srivilliputhur '23::: two fellows from Princeton's student-led Vote100 campaign. They will discuss Vote100 goals and mission::: how to increase voter participation in the 2020 election and more.  Politics & Polls: A Conversation with Princeton Vote100",2020-09-11 01:31:10,🦜🕺🦹💇🦜💇🧛💇,Lisa Satana,Asima Alex,We should definitely listen to Sam Wang. He was so brilliant with respect to the 2016 election. I wonder how that bug tasted. .,Tamzen Assam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more than 270 years::: Princetonians have persisted through local::: national and global challenges by pioneering solutions through teaching::: research::: support and innovation.  Today::: #PrincetonU and Princeton Alumni launch ""A Year of Forward Thinking:::"" a community engagement campaign that invites the University community to join in a conversation focused on responding to the challenges we face today. #PrincetonForward  PRINCETON.EDU Princeton launches ‘A Year of Forward Thinking’ engagement campaign",2020-09-10 19:22:53,Or.... try just DOING some of the things that forward thinking Princetonians have been discussing for years. Divest Princeton.,I love PU😍😍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
“For someone who writes::: there is no better way to learn how to write than to translate::: in my opinion ... It’s only by stepping outside the language you take for granted — the language you can express yourself in without thinking — that you can really learn to work in any language. So I really want to build on what is already here in terms of translation.”  Pulitzer Prizes winner and director of the @princeton arts Program in Creative Writing Jhumpa Lahiri talks about her relationship with languages and the importance of translation.  Lahiri joins a panel during the 14h annual @Princeton Humanities Colloquium this evening: https://bit.ly/2Zj0xT5  PRINCETON.EDU Jhumpa Lahiri champions the writerly art of translation,2020-09-09 15:00:38,Looks snakey 🐍,Emily,Hi friend,Morgan Levy,#Translation brings focus on #Linguistics,❤️,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
